dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,42,1,online_static_3step_vs_pizza_repartition,0.19689936701527955,0.025013767314959856,-0.03482290165963092,-0.0090616848736301
1,42,2,online_static_3step_vs_pizza_repartition,0.09845639144437046,0.023934619261120837,-0.042556977389877404,-0.010140832927469052
1,42,3,online_static_3step_vs_pizza_repartition,0.1881547691285791,0.03918199712015791,-0.006370819276484169,0.005106544931568083
1,43,1,online_static_3step_vs_pizza_repartition,0.0459989323406268,0.01787298957302752,-0.07603912501453783,-0.026892300329746616
1,43,2,online_static_3step_vs_pizza_repartition,0.1834531148602564,0.042078374221219184,-0.029500589634635144,-0.0026869156815549945
1,43,3,online_static_3step_vs_pizza_repartition,0.24141707893151565,0.05312516606251794,0.00025162420605906455,0.008359876159743687
1,44,1,online_static_3step_vs_pizza_repartition,-0.17617236453969454,-0.022665323949705662,-0.0989592972190079,-0.048026326770893475
1,44,2,online_static_3step_vs_pizza_repartition,-0.02389302938818172,0.008223766840447122,-0.04947086109432505,-0.01713723598074066
1,44,3,online_static_3step_vs_pizza_repartition,0.11321440581263797,0.031947762807189695,-0.003392105414389418,0.006586759986001984
1,45,1,online_static_3step_vs_pizza_repartition,-0.14009171964818934,-0.005129043754022677,-0.09876491192301323,-0.04588762563405212
1,45,2,online_static_3step_vs_pizza_repartition,-0.006830324662824849,0.018666847275138787,-0.05390746268295496,-0.02209173460489072
1,45,3,online_static_3step_vs_pizza_repartition,-0.17614343817019462,0.014392788616182761,-0.08322951221591718,-0.026365793263846683
1,46,1,online_static_3step_vs_pizza_repartition,0.4319519219807184,0.07045942529600668,-0.048975112887495176,-0.00887281942191543
1,46,2,online_static_3step_vs_pizza_repartition,-0.016568052406778166,0.04456990822329243,-0.10506042984682137,-0.034762336494629724
1,46,3,online_static_3step_vs_pizza_repartition,-0.058689752380299665,0.04701735754784653,-0.08791852632849032,-0.032314887170075565
1,47,1,online_static_3step_vs_pizza_repartition,-0.16848839671285465,-0.023224097837443725,-0.10283848115738414,-0.04806232747209411
